,TIME,LATITUDE,LONGITUDE,ALTITUDE,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,MAF,SPEED,THROTTLE_POS,ENGINE_RUNTIME
0,1494584158155,-5.81915187,-35.21287673,28.0,90,35.3,600,1.81,0,15.7,00:18:25
1,1494584162166,-5.81915187,-35.21287673,28.0,90,35.7,597,1.81,0,15.7,00:18:29
2,1494584166187,-5.81915187,-35.21287673,28.0,90,35.7,599,1.81,0,15.7,00:18:33
3,1494584170199,-5.81915187,-35.21287673,28.0,91,35.7,604,1.79,0,15.7,00:18:36
4,1494584174210,-5.81915187,-35.21287673,28.0,91,36.5,587,1.81,10,15.7,00:18:40
5,1494584178230,-5.81921941,-35.2126984,22.0,91,52.2,1478,6.68,23,19.6,00:18:44
6,1494584182244,-5.81932409,-35.21246136,20.0,90,55.7,1484,6.93,31,20.4,00:18:48
7,1494584186260,-5.8194888,-35.2121168,20.0,90,49.4,1496,6.62,39,19.6,00:18:52
8,1494584190272,-5.819636099999999,-35.21173309,21.0,89,34.1,1457,3.01,40,16.1,00:18:56
9,1494584194296,-5.81974799,-35.2114506,21.0,88,27.5,1157,2.79,25,16.5,00:19:00
10,1494584198307,-5.81982876,-35.21128619,19.0,88,31.0,723,2.04,10,15.7,00:19:04
11,1494584202318,-5.81982876,-35.21128619,19.0,87,30.2,709,1.85,4,15.7,00:19:08
12,1494584206331,-5.81982876,-35.21128619,19.0,87,35.3,609,1.84,0,15.7,00:19:12
13,1494584210341,-5.81982856,-35.21124095,19.0,88,36.1,615,1.9,0,15.7,00:19:16
14,1494584214365,-5.81982856,-35.21124095,19.0,88,36.5,612,1.87,0,15.7,00:19:20
15,1494584218376,-5.81982856,-35.21124095,19.0,88,36.5,600,1.85,0,15.7,00:19:24
16,1494584222388,-5.81982856,-35.21124095,19.0,89,36.1,596,1.84,0,15.7,00:19:28
17,1494584226400,-5.81982856,-35.21124095,19.0,89,36.1,596,1.81,0,15.7,00:19:32
18,1494584230413,-5.81982856,-35.21124095,19.0,89,36.9,693,2.51,3,16.5,00:19:36
19,1494584234429,-5.8198519,-35.21119148,22.0,89,41.2,962,4.82,14,18.8,00:19:40
20,1494584238441,-5.81993425,-35.21095135,19.0,89,62.7,1494,7.92,26,20.8,00:19:44
21,1494584242453,-5.82003132,-35.21068985,21.0,89,56.1,1512,6.95,28,20.0,00:19:48
